Id;Name;Revision;Usage;PrimaryPartId;Id;Name;ComplectationId;Id;Name;Date;Engine;Body;Grade;ATM;GearShiftType;Cab;TransmissionModel;LoadingCapacity;RearTire;Destination;FuelInduction;BuildingCondition;DoorsCount;Transmission;CarModelId;Id;Model;Code;ProductionYear;Type;MarketId;Id;Name;BrandId;Id;Name
35;TRANSAXLE OR TRANSMISSION ASSY & НАБОР ПРОКЛАДОК (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
36;КОРПУС СЦЕПЛЕНИЯ & КОРПУС ТРАНСМИССИИ (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
37;EXTENSION HOUSING (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
38;ВЕДОМАЯ ШЕСТЕРНЯ ПРИВОДА СПИДОМЕТРА (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
39;ШЕСТЕРНЯ КОРОБКИ ПЕРЕДАЧ (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
40;GEAR SHIFT FORK & LEVER SHAFT (MTM);NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
41;РЫЧАГ ПЕРЕКЛЮЧЕНИЯ ПЕРЕДАЧ & ФИКСАТОР;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
42;FRONT DRIVE CLUTCH & ШЕСТЕРНЯ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
43;ПЕРЕДАТОЧ. ВАЛ & КАРДАННЫЙ ШАРНИР С КРЕСТОВИНОЙ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
44;ЛЕБЕДКА ;NULL;NULL;2;2;Трансмиссия/Подвеска;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
